id,type,name,url,structure_name,opening,city,province,address,number,lat,lng,status
61438,IAT,"Rimini Marina centro - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/JAYSh8cuxZZ5WGU76,,,Rimini,Rimini,,,"44,0712192","12,5749812",Pubblico
61439,"IAT R","Rimini stazione - Ufficio Informazioni e Accoglienza Turistica (IAT-R)",https://maps.app.goo.gl/ifx32fgqL4XFEKnE8,,,Rimini,Rimini,,,"44,0638349","12,5715446",Pubblico
61440,"IAT Mobile","Viserba - Ufficio Informazioni e Accoglienza Turistica (IAT mobile)",https://maps.app.goo.gl/qJXDdn9Ji9Xm1vib7,,"da giugno a settembre",Rimini,Rimini,,,"44,0904357","12,5319525",Pubblico
61441,"Welcome Room","San Giovanni in Marignano - Welcome Room",https://maps.app.goo.gl/j2QAXG91PCFSr9mU6,,,"San Giovanni in Marignano",Rimini,,,"43,9389483","12,7101999",Pubblico
61442,IAT,"San Leo - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/bvMQbtwXThXPgeVh7,,,"San Leo",Rimini,,,"43,8967739","12,3407959",Pubblico
61443,IAT,"Sant'Agata Feltria - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/BfXJuRRq4wpMMFBv7,,,"Sant'Agata Feltria",Rimini,,,"43,8641174","12,2058497",Pubblico
61444,IAT,"Santarcangelo di Romagna - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/yLsnA9QfxFjZyACf9,,,"Santarcangelo di Romagna",Rimini,,,"44,0635086","12,4423948",Pubblico
61445,"Welcome Room","Talamello - Welcome Room",https://maps.app.goo.gl/T92DkRirG9V4iMz59,,,Talamello,Rimini,,,"43,905949","12,2813967",Pubblico
61446,IAT,"Verucchio - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/ZdQjEMU35L6dZwrD9,,,Verucchio,Rimini,,,"43,98373","12,4184051",Pubblico
61447,IAT,"Alto Reno Terme - Porretta Terme - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/NEbnYXMg6Fv2A4PA8,,,"Alto Reno Terme",Bologna,,,"44,1546992","10,9734008",Pubblico
61448,"IAT R","Bologna - Ufficio Informazioni e Accoglienza Turistica (IAT-R) - Bologna Welcome",https://maps.app.goo.gl/dqY63X4mRc2Nob3y8,,,Bologna,Bologna,,,"44,4939903","11,3406011",Pubblico
61449,IAT,"Dozza - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/ZbDv8fEXuVTvDD9A7,,,Dozza,Bologna,,,"44,358825","11,6250887",Pubblico
61450,"Welcome Room","Imola - Welcome Room",https://maps.app.goo.gl/rk7CA1qknLbmzJZ18,,,Imola,Bologna,,,"44,353187","11,7108831",Pubblico
61452,IAT,"Lizzano in Belvedere Vidiciatico (Corno alle Scale) - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/ARYv2CepxCJj4R6U8,,,"Lizzano in Belvedere",Bologna,,,"44,1706929","10,8729783",Pubblico
61453,"Welcome Room","Marzabotto - Welcome Room",https://maps.app.goo.gl/4DcV3pvysZLvX7Pa9,,,Marzabotto,Bologna,,,"44,3411935","11,2016165",Pubblico
61454,IAT,"Monghidoro - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/gR2hijqMqFNNKJgAA,,,Monghidoro,Bologna,,,"44,219318","11,3139194",Pubblico
61455,"IAT R","Imola Area Imolese - Ufficio Informazioni e Accoglienza Turistica (IAT-R)",https://maps.app.goo.gl/Dk1utCPvhxcfSSai6,,,Imola,Bologna,,,"44,3488285","11,7094006",Pubblico
61456,"Welcome Room","San Benedetto Val di Sambro Madonna dei Fornelli - Welcome Room",https://maps.app.goo.gl/dc43KAhmQ8mCe4L79,,,"San Benedetto Val di Sambro",Bologna,,,"44,200578","11,2571575",Pubblico
61457,"IAT R","San Giovanni in Persiceto e Pianura bolognese - Ufficio Informazioni e Accoglienza Turistica (IAT-R)",https://maps.app.goo.gl/6JLkwqysxrUqhD1B6,,,"San Giovanni in Persiceto",Bologna,,,"44,6414128","11,1888094",Pubblico
61458,"IAT R","Sasso Marconi e Appennino bolognese - Ufficio Informazioni e Accoglienza Turistica (IAT-R)",https://maps.app.goo.gl/REP8TAPMGutMQGtw6,,,"Sasso Marconi",Bologna,,,"44,394695","11,2421543",Pubblico
61459,"IAT R","Maranello - Terra di Motori - Ufficio Informazioni e Accoglienza Turistica (IAT-R)",https://maps.app.goo.gl/iRN89yVJfb9uoA3Q6,,,Maranello,Modena,,,"44,5301183","10,8585767",Pubblico
61460,"IAT R","Modena - Ufficio Informazioni e Accoglienza Turistica (IAT-R)",https://maps.app.goo.gl/gUoRzr9Rg9op9k8p9,,,Modena,Modena,,,"44,6459079","10,9235745",Pubblico
61461,"Welcome Room","Modena - Welcome Room",https://maps.app.goo.gl/8kHAdkE1BuyBPexd9,,,Modena,Modena,,,"44,6465526","10,922062",Pubblico
61462,"Welcome Room","Pavullo nel Frignano - Welcome Room",https://maps.app.goo.gl/LSuyqJZtGVzfYwfd6,,,"Pavullo nel Frignano",Modena,,,"44,3413242","10,8322985",Pubblico
61463,IAT,"Sassuolo - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/JkjjEz5ARWHdSGqM7,,,Sassuolo,Modena,,,"44,5423588","10,7777462",Pubblico
61464,IAT,"Sestola - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/WqXsxigshHDooFbNA,,,Sestola,Modena,,,"44,2293335","10,7685837",Pubblico
61465,IAT,"Carpi - Unione Terre d'Argine - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/7zx4FwGtS6e83sBp9,,,Carpi,Modena,,,"44,7832651","10,8835554",Pubblico
61466,IAT,"Castelvetro di Modena - Unione Terre di Castelli - Ufficio Informazioni e Accoglienza Turistica (IAT)",https://maps.app.goo.gl/3i2yHC26drGtUg9d6,,,"Castelvetro di Modena",Modena,,,"44,503126","10,9405252",Pubblico
61467,"IAT diffuso","Bagno di Romagna - IAT Diffuso",,"Agriturismo Coradosso",,"Bagno di Romagna",Forlì-Cesena,"Via Coradosso - Loc. Selvapiana",329,"43,8762908","12,0501616",Pubblico
61468,"IAT diffuso","Bagno di Romagna - IAT Diffuso",,"Albergo Roma",,"Bagno di Romagna",Forlì-Cesena,"Via della Fonte",2,"43,8341171","11,9589971",Pubblico
61469,"IAT diffuso","Bagno di Romagna - IAT Diffuso",,"Bar Joy vizio liquido",,"Bagno di Romagna",Forlì-Cesena,"Piazza Ricasoli",5,"43,8339623","11,9594708",Pubblico
61470,"IAT diffuso","Bagno di Romagna - IAT Diffuso",,"Fattoria Ca' di Gianni",,"Bagno di Romagna",Forlì-Cesena,"via Cà di Gianni",159,"43,8530064","11,9883675",Pubblico
61471,"IAT diffuso","Bagno di Romagna - IAT Diffuso",,"Hotel Tosco Romagnolo",,"Bagno di Romagna",Forlì-Cesena,"via del Popolo",2,"43,8329083","11,9580329",Pubblico
61472,"IAT diffuso","Bagno di Romagna - IAT Diffuso",,"Idro Ecomuseo",,"Bagno di Romagna",Forlì-Cesena,"Borgo di Ridracoli",,"43,8851293","11,8350876",Pubblico
61473,"IAT diffuso","Bagno di Romagna - IAT Diffuso",,"Il Lago Lungo",,"Bagno di Romagna",Forlì-Cesena,"Lago Lungo",,"43,8467257","12,0024036",Pubblico
61474,"IAT diffuso","Bagno di Romagna - IAT Diffuso",,"Non solo bar",,"Bagno di Romagna",Forlì-Cesena,"via Fiorentina",44,"43,8330415","11,9581788",Pubblico
61475,"IAT diffuso","Bagno di Romagna - IAT Diffuso",,"Orso Bianco",,"Bagno di Romagna",Forlì-Cesena,"via Pascoli",12,"43,8579747","11,9756878",Pubblico
61476,"IAT diffuso","Bagno di Romagna - IAT Diffuso",,"Pizzeria Invito",,"Bagno di Romagna",Forlì-Cesena,"via dell'Orto",1,"43,8369178","11,9598163",Pubblico
61477,"IAT diffuso","Bagno di Romagna - IAT Diffuso",,"Agriturismo Pratalbino",,"Bagno di Romagna",Forlì-Cesena,"via Crocedevoli",6,"43,8959685","11,9497675",Pubblico
61478,"IAT diffuso","Bagno di Romagna - IAT Diffuso",,"RIifugio Trappisa di sotto",,"Bagno di Romagna",Forlì-Cesena,"Strabatenza - Trappisa di Sotto",21,"43,8691875","11,8879375",Pubblico
61479,"IAT diffuso","Bagno di Romagna - IAT Diffuso",,"Ristorante Giardino",,"Bagno di Romagna",Forlì-Cesena,"Piazza Martiri 25 1944",12,"43,8577644","11,9758142",Pubblico
61480,"IAT diffuso","Bagno di Romagna - IAT Diffuso",,"Centro Turistico Valbonella",,"Bagno di Romagna",Forlì-Cesena,Valbonella,38,"43,8578143","12,008986",Pubblico
61481,"IAT diffuso","Castrocaro Terme e Terra del Sole - IAT Diffuso",,"Gran Caffè '900",,"Castrocaro Terme e Terra del Sole",Forlì-Cesena,"Viale Marconi",9,"44,1779687","11,9521486",Pubblico
61482,"IAT diffuso","Castrocaro Terme e Terra del Sole - IAT Diffuso",,"Twelve Cafè",,"Castrocaro Terme e Terra del Sole",Forlì-Cesena,"Viale Marconi",19,"44,1735587","11,9484808",Pubblico
61483,"IAT diffuso","Castrocaro Terme e Terra del Sole - IAT Diffuso",,"Ci voleva",,"Castrocaro Terme e Terra del Sole",Forlì-Cesena,"Viale Marconi",92,"44,1754347","11,9511696",Pubblico
61484,"IAT diffuso","Castrocaro Terme e Terra del Sole - IAT Diffuso",,"Due Borghi",,"Castrocaro Terme e Terra del Sole",Forlì-Cesena,"Piazza A. Garibaldi",9,"44,1859586","11,9597124",Pubblico
61485,"IAT diffuso","Castrocaro Terme e Terra del Sole - IAT Diffuso",,"Bar Calderone",,"Castrocaro Terme e Terra del Sole",Forlì-Cesena,"Via Luigi Benericetti",8,"44,1850343","11,9607972",Pubblico
61486,"IAT diffuso","Forlimpopoli - IAT Diffuso",,"Edicola Amadori Errica e Eva & C. S.n.c.",,Forlimpopoli,Forlì-Cesena,"Largo Paolucci De Calboli",7,"44,1869163","12,1258194",Pubblico
61487,"IAT diffuso","Forlimpopoli - IAT Diffuso",,"Edicola Siboni",,Forlimpopoli,Forlì-Cesena,Crocette,,"44,186477","12,1223841",Pubblico
